what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1529740262937
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1529740263032
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1529740263442
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1529740263642
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1529740263663
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1529740263681
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1529740263797
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1529740263823
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1529740263844
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1529740263846
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1529740263934
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1529740364299
no handler,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1529740369286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740371170
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1529740377368
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1529740377552
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1529740377616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740377685
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1529740379250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740379277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740387123
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1529740395155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740395171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740404745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1529740431483
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1529740431483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740436723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529740677042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529741283012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529750129103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529750133042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529750176314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529750179762
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529750181312
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1529750181862
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1529750181875
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1529750181886
